epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6059.08,0.83272,0.70839,1.21634,0.93771,0.93306,0.97145,0.77892,0.77308,0.43825,1.22718,0.007228,0.007228,0.007228
44,6199.75,0.82327,0.69619,1.21214,0.95067,0.94919,0.97388,0.7973,0.74839,0.42126,1.21004,0.007162,0.007162,0.007162
45,6340.8,0.83031,0.6963,1.21526,0.9357,0.96481,0.97123,0.79514,0.73774,0.42712,1.19784,0.007096,0.007096,0.007096
46,6482.85,0.80975,0.67939,1.209,0.94787,0.95222,0.97261,0.8017,0.72658,0.42272,1.18148,0.00703,0.00703,0.00703
47,6624.77,0.82306,0.69043,1.21016,0.94136,0.96753,0.97802,0.8008,0.71662,0.41196,1.1784,0.006964,0.006964,0.006964
48,6765.76,0.80633,0.66251,1.19904,0.94802,0.94524,0.97227,0.79773,0.7314,0.42794,1.18982,0.006898,0.006898,0.006898
49,6906.54,0.7974,0.65218,1.18959,0.96775,0.94666,0.97922,0.80782,0.71856,0.40352,1.18006,0.006832,0.006832,0.006832
50,7048.67,0.79608,0.65535,1.1958,0.96576,0.9546,0.97618,0.80105,0.72261,0.40628,1.19189,0.006766,0.006766,0.006766
51,7190.16,0.79915,0.65457,1.19531,0.95096,0.96717,0.97773,0.80704,0.71662,0.40796,1.17467,0.0067,0.0067,0.0067
52,7336.23,0.78419,0.63226,1.18549,0.96425,0.95297,0.97633,0.81059,0.70058,0.39138,1.15964,0.006634,0.006634,0.006634
53,7477.28,0.78783,0.64297,1.19555,0.95594,0.9523,0.97814,0.80362,0.71409,0.39508,1.18591,0.006568,0.006568,0.006568
54,7617.76,0.7856,0.64097,1.19018,0.95659,0.96219,0.97818,0.81601,0.69434,0.38835,1.16741,0.006502,0.006502,0.006502
55,7758.9,0.77582,0.62729,1.18529,0.95902,0.95661,0.97749,0.81894,0.68545,0.38654,1.1535,0.006436,0.006436,0.006436
56,7900.29,0.76786,0.61707,1.17436,0.95767,0.95461,0.97875,0.815,0.68827,0.3866,1.1519,0.00637,0.00637,0.00637
57,8040.17,0.77538,0.61635,1.17481,0.95726,0.95223,0.97754,0.81801,0.69522,0.39039,1.16849,0.006304,0.006304,0.006304
58,8179.94,0.76358,0.61009,1.1723,0.96251,0.95584,0.97952,0.82131,0.68201,0.38112,1.15792,0.006238,0.006238,0.006238
59,8319.94,0.75476,0.60645,1.16427,0.96083,0.95687,0.97967,0.82227,0.68367,0.38156,1.15567,0.006172,0.006172,0.006172
60,8459.61,0.75291,0.59472,1.16869,0.96837,0.95584,0.97839,0.82036,0.68084,0.37727,1.14467,0.006106,0.006106,0.006106
61,8599.52,0.74694,0.59623,1.16516,0.96825,0.95838,0.97868,0.8251,0.66802,0.36665,1.14284,0.00604,0.00604,0.00604
62,8723.46,0.7511,0.58965,1.15669,0.96389,0.95544,0.9826,0.8314,0.668,0.3727,1.13418,0.005974,0.005974,0.005974
63,8876.73,0.74321,0.58835,1.16243,0.95649,0.96372,0.97816,0.82651,0.6655,0.3696,1.14154,0.005908,0.005908,0.005908
64,9021.66,0.73959,0.57741,1.15502,0.95659,0.9628,0.97936,0.8305,0.65797,0.36926,1.12467,0.005842,0.005842,0.005842
65,9160.23,0.73663,0.58059,1.1529,0.96143,0.96198,0.98114,0.83139,0.65676,0.36474,1.12084,0.005776,0.005776,0.005776
66,9299.5,0.7321,0.58027,1.15256,0.96587,0.96306,0.98213,0.83948,0.64325,0.35201,1.11712,0.00571,0.00571,0.00571
67,9437.26,0.72103,0.56679,1.14728,0.97077,0.95015,0.9798,0.83447,0.64948,0.35182,1.12709,0.005644,0.005644,0.005644
68,9576.35,0.7212,0.56454,1.1461,0.96266,0.96771,0.98199,0.83996,0.63768,0.34576,1.12093,0.005578,0.005578,0.005578
69,9716.13,0.72266,0.56226,1.14925,0.96595,0.95728,0.9797,0.83755,0.64578,0.34908,1.12169,0.005512,0.005512,0.005512
70,9855.4,0.7102,0.55052,1.13734,0.97238,0.95875,0.97993,0.84305,0.63861,0.34083,1.12316,0.005446,0.005446,0.005446
71,9994.65,0.71282,0.54294,1.14577,0.9632,0.9627,0.98074,0.84058,0.63919,0.34735,1.11582,0.00538,0.00538,0.00538
72,10134.3,0.70862,0.56039,1.14019,0.96729,0.96184,0.97938,0.84263,0.63466,0.34267,1.11669,0.005314,0.005314,0.005314
73,10273.1,0.70354,0.54394,1.13629,0.96577,0.96781,0.98064,0.84217,0.63169,0.34255,1.10321,0.005248,0.005248,0.005248
74,10411.9,0.70896,0.54694,1.13767,0.96862,0.96647,0.98224,0.84761,0.62263,0.34289,1.09979,0.005182,0.005182,0.005182
75,10551.8,0.69534,0.53402,1.13452,0.96337,0.96429,0.98008,0.84504,0.61751,0.33801,1.09543,0.005116,0.005116,0.005116
76,10691.7,0.69446,0.52918,1.1287,0.9598,0.9603,0.97923,0.84775,0.61318,0.34377,1.09329,0.00505,0.00505,0.00505
77,10830.7,0.68922,0.53575,1.1285,0.96513,0.96763,0.98141,0.85032,0.61327,0.33045,1.09712,0.004984,0.004984,0.004984
78,10972.8,0.68903,0.52598,1.12465,0.96215,0.96753,0.98233,0.85269,0.61421,0.33199,1.09761,0.004918,0.004918,0.004918
79,11112.6,0.67519,0.50985,1.12051,0.96798,0.96457,0.98153,0.85345,0.61865,0.33802,1.10106,0.004852,0.004852,0.004852
80,11251.6,0.68072,0.51822,1.12217,0.97238,0.96723,0.98388,0.85116,0.62151,0.32845,1.10592,0.004786,0.004786,0.004786
81,11393.1,0.68343,0.51849,1.12398,0.9674,0.96971,0.98147,0.85248,0.61932,0.32935,1.10406,0.00472,0.00472,0.00472
82,11533.5,0.66922,0.50884,1.11318,0.97214,0.96615,0.98237,0.85135,0.61407,0.32134,1.10296,0.004654,0.004654,0.004654
83,11679.3,0.67523,0.51001,1.11902,0.97078,0.96424,0.9812,0.85848,0.59766,0.31836,1.0896,0.004588,0.004588,0.004588
84,11822.5,0.67315,0.5048,1.11851,0.97428,0.9708,0.98217,0.85805,0.60294,0.31798,1.09227,0.004522,0.004522,0.004522
85,11962.4,0.6718,0.50468,1.11444,0.96367,0.97158,0.98135,0.85425,0.60216,0.3218,1.09129,0.004456,0.004456,0.004456
86,12103.1,0.66384,0.49516,1.10922,0.97957,0.96339,0.98242,0.85723,0.5994,0.3155,1.08646,0.00439,0.00439,0.00439
87,12242.1,0.66059,0.49622,1.10955,0.97533,0.96731,0.98206,0.86002,0.58949,0.31366,1.08661,0.004324,0.004324,0.004324
88,12382.4,0.66043,0.49345,1.10815,0.97556,0.9678,0.98239,0.85928,0.59064,0.3095,1.08713,0.004258,0.004258,0.004258
89,12523,0.64845,0.48683,1.09787,0.97544,0.97094,0.98286,0.85885,0.58726,0.31269,1.08231,0.004192,0.004192,0.004192
90,12660.7,0.64925,0.48258,1.10622,0.97313,0.97271,0.98429,0.86245,0.58652,0.30871,1.08213,0.004126,0.004126,0.004126
91,12798.7,0.63874,0.47393,1.10182,0.97366,0.9744,0.98561,0.86543,0.57462,0.30527,1.07176,0.00406,0.00406,0.00406
92,12936.6,0.64506,0.47407,1.09463,0.97476,0.97278,0.98503,0.86672,0.57777,0.30411,1.0726,0.003994,0.003994,0.003994
93,13074.9,0.64258,0.47669,1.10137,0.97237,0.97887,0.98529,0.86593,0.57899,0.30401,1.07515,0.003928,0.003928,0.003928
94,13212.4,0.64046,0.47598,1.0992,0.97214,0.97524,0.98527,0.86859,0.58391,0.30567,1.08123,0.003862,0.003862,0.003862
95,13350.9,0.63955,0.46521,1.09502,0.97448,0.97566,0.98506,0.86675,0.58145,0.30295,1.07524,0.003796,0.003796,0.003796
96,13489.7,0.63607,0.46751,1.09392,0.97425,0.97187,0.98478,0.86908,0.57761,0.29983,1.07273,0.00373,0.00373,0.00373
97,13628,0.63157,0.4641,1.08919,0.97564,0.97562,0.98476,0.86715,0.57854,0.30137,1.07372,0.003664,0.003664,0.003664
98,13767.6,0.62778,0.46176,1.08619,0.96989,0.97679,0.9852,0.86814,0.57683,0.3028,1.07704,0.003598,0.003598,0.003598
99,13905.7,0.6152,0.45584,1.08288,0.9755,0.97017,0.98535,0.87274,0.56909,0.29771,1.07136,0.003532,0.003532,0.003532
100,14048.3,0.61591,0.44976,1.08046,0.97755,0.97339,0.98612,0.87032,0.56624,0.29771,1.0676,0.003466,0.003466,0.003466
101,14192.4,0.61666,0.45069,1.08118,0.97545,0.97113,0.98571,0.86973,0.56214,0.29674,1.06584,0.0034,0.0034,0.0034
102,14339.8,0.61382,0.44553,1.07604,0.9792,0.97,0.98535,0.87324,0.55817,0.2911,1.06658,0.003334,0.003334,0.003334
103,14487.2,0.60676,0.44264,1.07719,0.97725,0.9674,0.98418,0.87384,0.5581,0.29702,1.06398,0.003268,0.003268,0.003268
104,14630.1,0.61005,0.44093,1.08261,0.97555,0.9721,0.98526,0.87604,0.55753,0.30069,1.06141,0.003202,0.003202,0.003202
105,14771.7,0.6019,0.439,1.075,0.97243,0.97381,0.98503,0.87427,0.55552,0.30008,1.0577,0.003136,0.003136,0.003136
106,14912.8,0.59656,0.44103,1.07524,0.97438,0.97244,0.98495,0.87397,0.5552,0.29676,1.0582,0.00307,0.00307,0.00307
