epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3183.59,1.12134,1.04556,1.37803,0.92741,0.91433,0.95549,0.69816,0.97374,0.57808,1.40989,0.007921,0.007921,0.007921
44,3257.43,1.13018,1.06634,1.38507,0.91159,0.93062,0.95707,0.68857,1.01183,0.58697,1.43152,0.0078715,0.0078715,0.0078715
45,3331.35,1.11216,1.0398,1.37979,0.91755,0.92932,0.94693,0.69141,0.99079,0.57745,1.43029,0.007822,0.007822,0.007822
46,3404.9,1.12743,1.04872,1.38541,0.90673,0.93003,0.95452,0.69842,0.97078,0.56951,1.40712,0.0077725,0.0077725,0.0077725
47,3479.12,1.10838,1.03436,1.37439,0.9209,0.93569,0.95614,0.70652,0.94796,0.54763,1.36673,0.007723,0.007723,0.007723
48,3553.49,1.10741,1.00478,1.36306,0.91579,0.92355,0.95158,0.7063,0.96081,0.55226,1.39068,0.0076735,0.0076735,0.0076735
49,3627.16,1.10301,1.00529,1.36332,0.92165,0.92788,0.96033,0.72001,0.93459,0.5286,1.37746,0.007624,0.007624,0.007624
50,3700.83,1.09805,0.9995,1.368,0.91769,0.93577,0.95213,0.70953,0.93641,0.54709,1.36995,0.0075745,0.0075745,0.0075745
51,3775.23,1.09505,0.99183,1.3557,0.92687,0.93582,0.96274,0.72633,0.92641,0.5299,1.37177,0.007525,0.007525,0.007525
52,3848.58,1.0954,0.99741,1.3577,0.90086,0.93823,0.95885,0.72742,0.92276,0.53616,1.35733,0.0074755,0.0074755,0.0074755
53,3921.79,1.08919,0.98443,1.34439,0.8987,0.9359,0.95493,0.72021,0.93064,0.55355,1.37078,0.007426,0.007426,0.007426
54,3996.16,1.08667,0.98207,1.35401,0.92584,0.93567,0.96099,0.72366,0.91993,0.54028,1.36324,0.0073765,0.0073765,0.0073765
55,4070.03,1.08582,0.97749,1.35027,0.91583,0.94333,0.9635,0.72864,0.91302,0.5236,1.35168,0.007327,0.007327,0.007327
56,4143.7,1.06957,0.95866,1.33775,0.93293,0.94239,0.96322,0.73608,0.90754,0.51034,1.34896,0.0072775,0.0072775,0.0072775
57,4217.6,1.08157,0.96364,1.34607,0.92846,0.93972,0.96662,0.73752,0.8987,0.50402,1.33385,0.007228,0.007228,0.007228
58,4291.47,1.0829,0.97435,1.35118,0.92813,0.93064,0.96681,0.73482,0.89798,0.51506,1.33577,0.0071785,0.0071785,0.0071785
59,4365.59,1.06976,0.95793,1.34217,0.92748,0.93889,0.96529,0.73441,0.90023,0.52087,1.3414,0.007129,0.007129,0.007129
60,4439.5,1.06448,0.94002,1.33166,0.92392,0.93898,0.96787,0.74195,0.89028,0.50669,1.331,0.0070795,0.0070795,0.0070795
61,4513.93,1.04958,0.93883,1.32601,0.94,0.95133,0.97196,0.74227,0.89247,0.49253,1.33961,0.00703,0.00703,0.00703
62,4588.74,1.06068,0.9472,1.33044,0.93904,0.95037,0.9695,0.74171,0.88612,0.49669,1.32558,0.0069805,0.0069805,0.0069805
63,4662.51,1.0497,0.92723,1.33271,0.9247,0.9537,0.97097,0.75004,0.8694,0.50761,1.32007,0.006931,0.006931,0.006931
64,4735.84,1.05359,0.93941,1.33731,0.92715,0.94603,0.97043,0.74594,0.8659,0.50445,1.31135,0.0068815,0.0068815,0.0068815
65,4809.57,1.05733,0.92974,1.3314,0.94266,0.94155,0.97151,0.74819,0.86287,0.47396,1.30856,0.006832,0.006832,0.006832
66,4882.77,1.05063,0.93736,1.33069,0.94559,0.94147,0.96697,0.74462,0.87762,0.47895,1.31156,0.0067825,0.0067825,0.0067825
67,4957.37,1.05434,0.92549,1.32837,0.92833,0.95315,0.96371,0.74406,0.88114,0.48533,1.32039,0.006733,0.006733,0.006733
68,5033.07,1.02933,0.90736,1.31004,0.93348,0.94257,0.96721,0.74405,0.86993,0.47583,1.31737,0.0066835,0.0066835,0.0066835
69,5107.84,1.03479,0.90605,1.31601,0.94658,0.948,0.97306,0.75556,0.85355,0.46283,1.29098,0.006634,0.006634,0.006634
70,5182.31,1.03703,0.90959,1.30928,0.95119,0.94161,0.97161,0.75976,0.84187,0.46005,1.28147,0.0065845,0.0065845,0.0065845
71,5258.34,1.03799,0.90336,1.31597,0.94302,0.94831,0.9748,0.75843,0.85408,0.46129,1.2863,0.006535,0.006535,0.006535
72,5333.01,1.01629,0.88672,1.3043,0.94096,0.95093,0.97506,0.75883,0.85303,0.45714,1.28768,0.0064855,0.0064855,0.0064855
73,5407.53,1.02154,0.88631,1.30351,0.94388,0.94699,0.96182,0.75079,0.85704,0.46149,1.28534,0.006436,0.006436,0.006436
